,aic,ar,ma,seasonal_ar,seasonal_integration,seasonal_ma,warning
447,1000000.0,3,3,2,1,0,1
448,1000000.0,3,3,2,1,1,1
449,1000000.0,3,3,2,1,2,1
450,1000000.0,3,4,0,0,0,1
451,1000000.0,3,4,0,0,1,1
452,1000000.0,3,4,0,0,2,1
453,1000000.0,3,4,0,1,0,1
454,1000000.0,3,4,0,1,1,1
455,1000000.0,3,4,0,1,2,1
456,1000000.0,3,4,1,0,0,1
457,1000000.0,3,4,1,0,1,1
458,1000000.0,3,4,1,0,2,1
459,1000000.0,3,4,1,1,0,1
460,2169.531867326553,3,4,1,1,1,0
461,1000000.0,3,4,1,1,2,1
462,1000000.0,3,4,2,0,0,1
463,1000000.0,3,4,2,0,1,1
464,1000000.0,3,4,2,0,2,1
465,1000000.0,3,4,2,1,0,1
466,2120.892652035088,3,4,2,1,1,0
467,1000000.0,3,4,2,1,2,1
468,1000000.0,3,5,0,0,0,1
469,1000000.0,3,5,0,0,1,1
470,1000000.0,3,5,0,0,2,1
471,1000000.0,3,5,0,1,0,1
472,2143.80155862624,3,5,0,1,1,0
473,1000000.0,3,5,0,1,2,1
474,1000000.0,3,5,1,0,0,1
475,1000000.0,3,5,1,0,1,1
476,1000000.0,3,5,1,0,2,1
477,1000000.0,3,5,1,1,0,1
478,1000000.0,3,5,1,1,1,1
479,1000000.0,3,5,1,1,2,1
480,1000000.0,3,5,2,0,0,1
481,1000000.0,3,5,2,0,1,1
482,1000000.0,3,5,2,0,2,1
483,1000000.0,3,5,2,1,0,1
484,1000000.0,3,5,2,1,1,1
485,1000000.0,3,5,2,1,2,1
486,1000000.0,3,6,0,0,0,1
487,1000000.0,3,6,0,0,1,1
488,1000000.0,3,6,0,0,2,1
489,1000000.0,3,6,0,1,0,1
490,1000000.0,3,6,0,1,1,1
491,1000000.0,3,6,0,1,2,1
492,1000000.0,3,6,1,0,0,1
493,1000000.0,3,6,1,0,1,1
494,1000000.0,3,6,1,0,2,1
495,1000000.0,3,6,1,1,0,1
496,1000000.0,3,6,1,1,1,1
497,1000000.0,3,6,1,1,2,1
498,1000000.0,3,6,2,0,0,1
499,1000000.0,3,6,2,0,1,1
500,1000000.0,3,6,2,0,2,1
501,2111.4608567494997,3,6,2,1,0,0
502,1000000.0,3,6,2,1,1,1
503,1000000.0,3,6,2,1,2,1
504,2487.935436503555,4,0,0,0,0,0
505,2488.652044231974,4,0,0,0,1,0
506,1000000.0,4,0,0,0,2,1
507,2259.0942304179107,4,0,0,1,0,0
508,2137.1721110988783,4,0,0,1,1,0
509,1000000.0,4,0,0,1,2,1
510,2486.631553813469,4,0,1,0,0,0
511,1000000.0,4,0,1,0,1,1
512,1000000.0,4,0,1,0,2,1
